ingredients,formatted ingredients,what-it-does
Purified Aqua,water,['solvent']
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Cetearyl Glucoside,cetearyl-glucoside,"['emulsifying', 'surfactant/cleansing']"
Olive (Olea Uropaea) Oil,olea-europaea-fruit-oil,"['antioxidant', 'emollient', 'perfuming']"
Castor (Ricinus Communis) Oil,ricinus-communis-seed-oil,"['emollient', 'perfuming']"
Jojoba (Buxus Chinesis) Oil,simmondsia-chinensis-seed-oil,['emollient']
Wheat (Triticum Vulgare) Germ Oil,triticum-vulgare-germ-oil,"['emollient', 'moisturizer/humectant']"
Avocado (Persea Gratissima) Oil,persea-gratissima-oil,"['antioxidant', 'emollient']"
Sweet Almond (Prunus Amygdalus Dulcis) Oil,prunus-amygdalus-dulcis-oil,['emollient']
Palm (Elaeis Guineensis) Oil,elaeis-guineensis-oil,['emollient']
Shea Butter (Butyrospermum Parkii),butyrospermum-parkii-butter,"['emollient', 'viscosity controlling']"
Evening Primrose (Oenothera Biennis) Oil,oenothera-biennis-oil,"['soothing', 'emollient']"
Honeysuckle (Lonicera Japonica) Flower Extract,lonicera-japonica-flower-extract,"['soothing', 'antimicrobial/antibacterial']"
Sea Buckthorn (Hippophae Rhamnoides) Oil,hippophae-rhamnoides-fruit-oil,"['antioxidant', 'emollient']"
Tocopheryl Acetate (Vitamin E),tocopheryl-acetate,['antioxidant']
Lavender (Lavandula Angustifolia) Oil,lavandula-angustifolia-oil,"['antimicrobial/antibacterial', 'perfuming']"
Geranium (Pelargonium Graveolens) Flower Oil,pelargonium-graveolens-flower-oil,['perfuming']
Tea Tree (Melaleuca Alternifolia) Oil,melaleuca-alternifolia-leaf-oil,"['soothing', 'anti-acne', 'antioxidant', 'antimicrobial/antibacterial', 'perfuming']"
Lonicera Caprifolium Flower Extract,lonicera-caprifolium-flower-extract,['perfuming']
Ylang Ylang (Cananga Odorate) Flower Oil,cananga-odorata-flower-oil,['perfuming']
Citric Acid,citric-acid,['buffering']
De-Ionized Water,water,['solvent']
Stearic Acid (Vegetable Source),stearic-acid,"['emollient', 'viscosity controlling']"
Avocado Oil,persea-gratissima-oil,"['antioxidant', 'emollient']"
Glyceryl Stearate SE,glyceryl-stearate-se,['emulsifying']
Cetyl Alcohol,cetyl-alcohol,"['emollient', 'viscosity controlling']"
Vegetable Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Cetearyl Glucoside,cetearyl-glucoside,"['emulsifying', 'surfactant/cleansing']"
Palmitic Acid Ester,palmitic-acid-ester,['']
Vegetable Squalane,squalane,"['skin-identical ingredient', 'emollient']"
Soy Lecithin,lecithin,"['emollient', 'emulsifying']"
Natural Aroma,aroma,['']
Glucose,glucose,['moisturizer/humectant']
Glucose Oxidase,glucose-oxidase,['']
Lactoperoxidase (Natural Preservative),lactoperoxidase,['']
Cetyl Palmitate,cetyl-palmitate,['emollient']
Shea Butter (Tree Nut),butyrospermum-parkii-butter,"['emollient', 'viscosity controlling']"
Mango Butter,mangifera-indica-seed-oil,['emollient']
Jojoba Oil,simmondsia-chinensis-seed-oil,['emollient']
Sodium Hyaluronate (Hyaluronic Acid),sodium-hyaluronate,"['skin-identical ingredient', 'moisturizer/humectant']"
Potassium Sorbate,potassium-sorbate,['preservative']
MSM,dimethyl-sulfone,['']
L-Carnosine,carnosine,"['antioxidant', 'cell-communicating ingredient']"
Xanthan Gum,xanthan-gum,['viscosity controlling']
Tetrahexyldecyl Ascorbate (Vitamin C),tetrahexyldecyl-ascorbate,"['antioxidant', 'skin brightening']"
D-Alpha Tocopherol (Vitamin E) (From Soy),tocopherol,['antioxidant']
Soluble Collagen,soluble-collagen,['moisturizer/humectant']
Grapefruit Seed Extract,citrus-grandis-seed-extract,['perfuming']
Green Tea Extract,camellia-sinensis-leaf-extract,"['antioxidant', 'soothing']"
Water (Aqua),water,['solvent']
Dicaprylyl Carbonate,dicaprylyl-carbonate,['emollient']
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Niacinamide,niacinamide,"['cell-communicating ingredient', 'skin brightening', 'anti-acne', 'moisturizer/humectant']"
Coconut Alkanes,coconut-alkanes,"['emollient', 'solvent']"
Cetearyl Olivate,cetearyl-olivate,['emulsifying']
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Sorbitan Olivate,sorbitan-olivate,['emulsifying']
Dimethicone,dimethicone,['emollient']
Sodium Hyaluronate,sodium-hyaluronate,"['skin-identical ingredient', 'moisturizer/humectant']"
Panthenol,panthenol,"['soothing', 'moisturizer/humectant']"
Glycine Soja (Soybean) Oil,glycine-soja-oil,"['emollient', 'perfuming']"
Tocopheryl Acetate,tocopheryl-acetate,['antioxidant']
Avena Sativa (Oat) Bran Extract,avena-sativa-bran-extract,"['soothing', 'abrasive/scrub']"
Avena Sativa (Oat) Kernel Extract,avena-sativa-kernel-extract,"['antioxidant', 'soothing', 'emollient', 'abrasive/scrub']"
Oryza Sativa (Rice) Extract,oryza-sativa-extract,['abrasive/scrub']
Oryza Sativa (Rice) Germ Extract,oryza-sativa-germ-extract,['emollient']
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,hydroxyethyl-acrylate-sodium-acryloyldimethyl-taurate-copolymer,['viscosity controlling']
Phenoxyethanol,phenoxyethanol,['preservative']
Caprylyl Glycol,caprylyl-glycol,"['moisturizer/humectant', 'emollient']"
Saccharide Isomerate,saccharide-isomerate,['moisturizer/humectant']
Tetrahexyldecyl Ascorbate,tetrahexyldecyl-ascorbate,"['antioxidant', 'skin brightening']"
Polymethylsilsesquioxane,polymethylsilsesquioxane,['']
Chlorphenesin,chlorphenesin,"['preservative', 'antimicrobial/antibacterial']"
Polyglyceryl-3 Diisostearate,polyglyceryl-3-diisostearate,['emulsifying']
Coco-Caprylate/Caprate,coco-caprylate-caprate,['emollient']
Disodium EDTA,disodium-edta,['chelating']
Mica,mica,['colorant']
Tin Oxide,tin-oxide,"['colorant', 'abrasive/scrub', 'viscosity controlling']"
Polysorbate 60,polysorbate-60,"['emulsifying', 'surfactant/cleansing']"
Sorbitan Isostearate,sorbitan-isostearate,['emulsifying']
Citric Acid,citric-acid,['buffering']
Potassium Sorbate,potassium-sorbate,['preservative']
Sodium Benzoate,sodium-benzoate,['preservative']
Sodium Citrate,sodium-citrate,"['chelating', 'buffering']"
Tocopherol,tocopherol,['antioxidant']
Fragrance (Parfum),parfum,['perfuming']
Geraniol,geraniol,['perfuming']
Limonene,limonene,"['perfuming', 'solvent']"
Titanium Dioxide (Ci 77891),ci-77891,['colorant']
Yellow 5 (Ci 19140),ci-19140,['colorant']
Yellow 6 (Ci 15985),ci-15985,['colorant']
Rosa Rubiginosa (Rosehip) Seed Oil (80.0%),rosa-rubiginosa-seed-oil,"['antioxidant', 'emollient']"
Salvia Hispanica (Chia) Seed Oil (19.7%),salvia-hispanica-seed-oil,"['antioxidant', 'emollient', 'moisturizer/humectant']"
Bakuchiol (0.3%),bakuchiol,"['cell-communicating ingredient', 'antioxidant', 'antimicrobial/antibacterial']"
Aqua,water,['solvent']
Ethylhexyl Stearate,ethylhexyl-stearate,['emollient']
Helianthus Annuus Seed Oil,helianthus-annuus-seed-oil,['emollient']
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Butyrospermum Parkii Butter,butyrospermum-parkii-butter,"['emollient', 'viscosity controlling']"
Glyceryl Stearate Citrate,glyceryl-stearate-citrate,"['emollient', 'emulsifying']"
Caprylic/Capric Triglyceride,caprylic-capric-triglyceride,['emollient']
Isopropyl Palmitate,isopropyl-palmitate,['emollient']
Mangifera Indica Seed Butter,mangifera-indica-seed-oil,['emollient']
Cocos Nucifera Oil,cocos-nucifera-oil,"['emollient', 'perfuming']"
Tocopherol,tocopherol,['antioxidant']
Coco-Caprylate,coco-caprylate,['emollient']
Xanthan Gum,xanthan-gum,['viscosity controlling']
Sodium Hydroxide,sodium-hydroxide,['buffering']
Parfum,parfum,['perfuming']
Linalool,linalool,['perfuming']
Geraniol,geraniol,['perfuming']
Limonene,limonene,"['perfuming', 'solvent']"
Benzyl Alcohol,benzyl-alcohol,"['preservative', 'perfuming', 'solvent', 'viscosity controlling']"
Citral,citral,['perfuming']
Dehydroacetic Acid,dehydroacetic-acid,['preservative']
Benzoic Acid,benzoic-acid,['preservative']
Phenoxyethanol,phenoxyethanol,['preservative']
Aqua (Water),water,['solvent']
Ethylhexyl Methoxycinnamate,ethylhexyl-methoxycinnamate,['sunscreen']
Butylene Glycol,butylene-glycol,"['moisturizer/humectant', 'solvent']"
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,methylene-bis-benzotriazolyl-tetramethylbutylphenol,['sunscreen']
Polymethylsilsesquioxane,polymethylsilsesquioxane,['']
Cyclopentasiloxane,cyclopentasiloxane,"['emollient', 'solvent']"
Diethylamino Hydroxybenzoyl Hexyl Benzoate,diethylamino-hydroxybenzoyl-hexyl-benzoate,['sunscreen']
Polysorbate 60,polysorbate-60,"['emulsifying', 'surfactant/cleansing']"
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Silica,silica,['viscosity controlling']
Bisethylhexyloxyphenol Methoxyphenyl Triazine,bis-ethylhexyloxyphenol-methoxyphenyl-triazine,['sunscreen']
Decyl Glucoside,decyl-glucoside,['surfactant/cleansing']
Titanium Dioxide,titanium-dioxide,"['sunscreen', 'colorant']"
Phenoxyethanol,phenoxyethanol,['preservative']
Triethanolamine,triethanolamine,['buffering']
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates-c10-30-alkyl-acrylate-crosspolymer,['viscosity controlling']
Hexylglycerin,hexylglycerin,['moisturizer/humectant']
Disodium EDTA,disodium-edta,['chelating']
Propylene Glycol,propylene-glycol,"['moisturizer/humectant', 'solvent', 'viscosity controlling']"
Rosa Roxburghii Fruit Extract,rosa-roxburghii-fruit-extract,['']
Xanthan Gum,xanthan-gum,['viscosity controlling']
Sodium Hyaluronate,sodium-hyaluronate,"['skin-identical ingredient', 'moisturizer/humectant']"
Hydrolyzed Hyaluronic Acid (Nano Ha),hydrolyzed-hyaluronic-acid,['moisturizer/humectant']
Sodium Acetylated Hyaluronate (Acha),sodium-acetylated-hyaluronate,['moisturizer/humectant']
Zinc Oxide (17%),zinc-oxide,['sunscreen']
Water,water,['solvent']
Isododecane,isododecane,"['emollient', 'solvent']"
Polyglyceryl-6 Polyricinoleate,polyglyceryl-6-polyricinoleate,['emulsifying']
Propanediol,propanediol,"['solvent', 'moisturizer/humectant']"
Dimethicone,dimethicone,['emollient']
Caprylic/Capric Triglyceride,caprylic-capric-triglyceride,['emollient']
Trimethylsiloxysilicate,trimethylsiloxysilicate,['emollient']
Butyloctyl Salicylate,butyloctyl-salicylate,['solvent']
Coco-Caprylate/Caprate,coco-caprylate-caprate,['emollient']
Isoamyl Laurate,isoamyl-laurate,['emollient']
Neopentyl Glycol Diheptanoate,neopentyl-glycol-diheptanoate,['emollient']
Polyglyceryl-10 Dioleate,polyglyceryl-10-dioleate,['emulsifying']
Lecithin,lecithin,"['emollient', 'emulsifying']"
Polyhydroxystearic Acid,polyhydroxystearic-acid,['emulsifying']
Ectoin,ectoin,"['antioxidant', 'soothing']"
Polymethylsilsesquioxane,polymethylsilsesquioxane,['']
Polysilicone-11,polysilicone-11,['']
Disteardimonium Hectorite,disteardimonium-hectorite,['viscosity controlling']
Butyrospermum Parkii (Shea) Butter,butyrospermum-parkii-butter,"['emollient', 'viscosity controlling']"
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Phenoxyethanol,phenoxyethanol,['preservative']
Propylene Carbonate,propylene-carbonate,"['solvent', 'viscosity controlling']"
Aminomethyl Propanol,aminomethyl-propanol,['buffering']
Citrus Aurantium Dulcis (Orange) Peel Oil,citrus-aurantium-dulcis-peel-oil,['perfuming']
Ethylhexylglycerin,ethylhexylglycerin,['preservative']
Polysorbate 20,polysorbate-20,"['emulsifying', 'surfactant/cleansing']"
Sclareolide,sclareolide,['perfuming']
Tocopheryl Acetate,tocopheryl-acetate,['antioxidant']
Dimethicone/Vinyl Dimethicone Crosspolymer,dimethicone-vinyl-dimethicone-crosspolymer,['viscosity controlling']
Dimethiconol,dimethiconol,"['emollient', 'moisturizer/humectant']"
Linalool,linalool,['perfuming']
Linalyl Acetate,linalyl-acetate,['']
Plankton Extract,plankton-extract,['']
Lavandula Angustifolia (Lavender) Oil,lavandula-angustifolia-oil,"['antimicrobial/antibacterial', 'perfuming']"
Lavandula Hybrida Oil,lavandula-hybrida-oil,['emollient']
Decyl Glucoside,decyl-glucoside,['surfactant/cleansing']
Sodium Ascorbate,sodium-ascorbate,['antioxidant']
Caprylyl Glycol,caprylyl-glycol,"['moisturizer/humectant', 'emollient']"
Hexylene Glycol,hexylene-glycol,"['solvent', 'emulsifying', 'perfuming', 'surfactant/cleansing']"
Tocopherol,tocopherol,['antioxidant']
Water (Aqua),water,['solvent']
Alcohol,alcohol,"['antimicrobial/antibacterial', 'solvent', 'viscosity controlling']"
Dimethicone,dimethicone,['emollient']
